,intake_number,time_in_shelter_days,is_sterilized,is_sterilized_in_shelter,hair_length,condition_Aged,condition_Feral,condition_Injured,condition_Normal,condition_Nursing,condition_Other,condition_Pregnant,condition_Sick,in_type_Euthanasia Request,in_type_Owner Surrender,in_type_Public Assist,in_type_Stray,sex_male,colour_Black,colour_Blue,colour_Brown,colour_Calico,colour_Chocolate,colour_Orange,colour_Torbie,colour_White,pattern_Multicolor,pattern_Plain,pattern_Point,pattern_Tabby,age_upon_intake_days,in_month_1,in_month_2,in_month_3,in_month_4,in_month_5,in_month_6,in_month_7,in_month_8,in_month_9,in_month_10,in_month_11,in_month_12,age_group_0-1 months,age_group_1-2 years,age_group_10+ years,age_group_2-5 months,age_group_3-5 years,age_group_6-10 years,age_group_6-11 months
9741,0.0,53.0875,1,1,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.003835616438356164,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9742,0.0,69.2326388888889,1,1,0.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.003835616438356164,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9743,0.0,3.811111111111111,1,1,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.00821917808219178,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9744,0.0,2.0305555555555554,1,1,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00821917808219178,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9745,0.0,2.0451388888888893,1,1,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00821917808219178,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9746,0.0,3.810416666666667,1,1,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.00821917808219178,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9747,0.0,47.34166666666667,1,0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.49999999999999994,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9748,0.0,5.6319444444444455,1,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.09999999999999999,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
9749,0.3333333333333333,10.406944444444443,1,1,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0.049315068493150684,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9750,0.0,143.23611111111111,1,0,1.0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.9999999999999999,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9751,0.0,164.15277777777774,1,0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0.39999999999999997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9752,0.0,47.92569444444445,1,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.39999999999999997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9753,0.3333333333333333,33.290972222222216,1,0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.39999999999999997,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
