,id,breed,intake_month,color,age_upon_intake_(years),time_in_shelter_days,intake_type_euthanasia_request,intake_type_owner_surrender,intake_type_public_assist,intake_type_stray,intake_weekday_friday,intake_weekday_monday,intake_weekday_saturday,intake_weekday_sunday,intake_weekday_thursday,intake_weekday_tuesday,intake_weekday_wednesday,intake_condition_aged,intake_condition_feral,intake_condition_injured,intake_condition_normal,intake_condition_nursing,intake_condition_other,intake_condition_pregnant,intake_condition_sick,sex_female,sex_male,sex_unknown,reproductive_state_intake_intact,reproductive_state_intake_sterile,reproductive_state_intake_unknown,reproductive_state_outcome_intact,reproductive_state_outcome_sterile,reproductive_state_outcome_unknown
481,A478957,domestic shorthair,1,white/brown tabby,9.0,4.14375,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
483,A479150,domestic shorthair,3,black/white,9.0,2.5145833333333334,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
489,A483240,domestic longhair/persian,11,blue cream,6.0,3.9604166666666663,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
494,A484463,domestic shorthair mix,4,brown tabby/white,9.0,0.83125,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
497,A484945,domestic shorthair mix,4,black,7.0,50.38333333333333,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
499,A485352,domestic shorthair mix,8,brown tabby,11.0,29.0875,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
504,A486513,domestic shorthair mix,1,white/black,8.0,0.9125,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
509,A487253,domestic longhair mix,1,black smoke,8.0,22.072222222222223,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
510,A487253,domestic longhair mix,4,black smoke,6.0,32.047222222222224,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
520,A489415,domestic shorthair mix,8,white,9.0,11.197916666666668,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
521,A489417,domestic shorthair mix,8,brown tabby/white,9.0,3.0694444444444446,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
523,A489503,domestic shorthair mix,9,white/brown tabby,7.0,0.0708333333333333,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0
556,A495792,domestic shorthair mix,7,white/brown tabby,6.0,29.19375,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
559,A496789,domestic shorthair mix,8,blue/white,7.0,0.0236111111111111,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
568,A499387,domestic shorthair mix,4,brown tabby/orange,8.0,9.152083333333334,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
571,A500065,domestic shorthair mix,2,flame point/white,13.0,1.05625,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
575,A500873,domestic shorthair mix,11,brown tabby,10.0,14.82986111111111,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
576,A500955,domestic shorthair mix,11,black,9.0,346.1965277777778,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
577,A501071,domestic longhair mix,3,brown tabby,7.0,25.03263888888889,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
597,A503957,domestic longhair,6,brown tabby,10.0,8.842361111111112,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
604,A504801,domestic shorthair,11,blue tabby/white,7.0,0.1423611111111111,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
610,A506241,domestic shorthair mix,12,cream tabby/white,7.0,11.054861111111112,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
619,A507705,domestic shorthair mix,12,blue tabby,13.0,37.19166666666667,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
626,A508692,domestic longhair mix,1,black/white,8.0,3.239583333333333,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
627,A509042,domestic shorthair mix,10,brown tabby/white,8.0,46.01666666666667,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
629,A509226,domestic shorthair mix,6,orange tabby,8.0,0.2993055555555555,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
635,A510336,domestic shorthair mix,4,black/white,6.0,12.990972222222222,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
638,A510997,domestic shorthair mix,3,white/orange tabby,5.0,1.0013888888888889,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
641,A511822,domestic shorthair mix,2,torbie,7.0,11.184722222222224,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
642,A512158,domestic shorthair mix,2,blue cream/tortie,6.0,13.140972222222222,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
645,A513770,domestic shorthair mix,8,black,8.0,0.8631944444444445,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
652,A514631,domestic shorthair mix,4,black,6.0,12.104861111111113,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
666,A515831,domestic shorthair mix,11,brown tabby/white,14.0,31.15833333333333,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
674,A517501,ragdoll mix,10,calico point,9.0,1.1958333333333333,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
675,A517502,domestic shorthair mix,10,orange tabby,10.0,12.259027777777778,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
685,A519025,domestic shorthair mix,4,blue tabby,6.0,4.097222222222222,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
686,A519536,siamese mix,6,calico point,6.0,7.894444444444445,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
690,A520195,domestic longhair mix,11,white/black,5.0,0.0763888888888889,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
694,A520786,domestic shorthair mix,2,black,9.0,24.143750000000004,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
701,A521806,domestic shorthair mix,3,black,5.0,171.88888888888889,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
706,A522484,domestic shorthair mix,5,blue tabby,5.0,8.835416666666667,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
710,A523102,domestic shorthair mix,1,brown tabby,9.0,59.016666666666666,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
713,A523371,domestic shorthair mix,7,brown tabby,5.0,4.107638888888889,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
727,A525136,american shorthair mix,3,calico,7.0,15.788194444444445,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
729,A525592,domestic shorthair mix,4,brown tabby,7.0,67.01875,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
739,A527094,domestic shorthair mix,12,black,6.0,4.220138888888889,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
750,A528354,siamese mix,11,tortie point,8.0,4.820833333333334,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
758,A529211,domestic longhair mix,4,blue,6.0,2.071527777777778,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
764,A529630,domestic shorthair mix,7,flame point,9.0,27.16180555555556,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
774,A530302,domestic shorthair mix,3,blue tabby,15.0,17.136111111111113,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
781,A530793,domestic shorthair mix,3,blue,5.0,34.11805555555556,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
782,A530793,domestic shorthair mix,12,blue,5.0,39.96041666666667,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
