	animal_id_intake	intake_number	breed	mixed_breed	dog_size	avg_height	avg_weight	avg_lifespan	Adaptability	All Around Friendliness	Health And Grooming Needs	Trainability	Physical Needs
169	A381173	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
170	A381217	1.0	Pomeranian	True	1	24.13	2.25	14.0	3.4	3.0	2.8	3.4	2.33
171	A381217	2.0	Pomeranian	True	1	24.13	2.25	14.0	3.4	3.0	2.8	3.4	2.33
172	A382192	1.0	Pekingese	True	2	19.05	4.73	14.0	3.6	3.0	2.2	3.8	1.67
173	A382251	1.0	Shetland Sheepdog	True	3	36.83	9.0	14.0	3.2	4.67	3.0	3.6	3.33
174	A383964	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
175	A385442	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
176	A386005	1.0	Australian Cattle Dog	True	4	46.99	18.0	14.0	2.8	4.0	3.4	4.2	5.0
177	A386688	1.0	German Shepherd Dog	True	5	60.96	38.25	12.0	3.2	4.0	3.4	4.6	5.0
178	A387083	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
179	A387965	1.0	Siberian Husky	True	5	54.61	21.38	14.0	2.6	5.0	3.0	3.4	4.33
181	A388691	1.0	Miniature Schnauzer	True	3	34.29	6.98	13.0	4.0	3.67	2.4	3.6	4.33
182	A390222	1.0	Jack Russell Terrier	False	3	31.75	6.75	12.0	3.0	4.67	3.0	4.4	5.0
183	A390222	2.0	Jack Russell Terrier	False	3	31.75	6.75	12.0	3.0	4.67	3.0	4.4	5.0
184	A391512	1.0	American Pit Bull Terrier	False	5	45.72	25.88	14.0	2.4	3.67	3.4	3.8	4.33
185	A391858	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
186	A392027	1.0	Dachshund	False	3	21.59	10.8	14.0	3.4	4.0	2.8	4.0	3.0
187	A392075	1.0	German Shepherd Dog	True	5	60.96	38.25	12.0	3.2	4.0	3.4	4.6	5.0
188	A392615	1.0	Dachshund	True	3	21.59	10.8	14.0	3.4	4.0	2.8	4.0	3.0
189	A394547	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
190	A395451	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
191	A396810	1.0	Field Spaniel	True	4	44.45	18.45	11.0	2.4	4.67	3.0	3.8	4.33
192	A397882	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
193	A399421	1.0	Pug	False	3	30.48	7.2	14.0	3.2	4.33	3.4	2.4	3.33
194	A399552	1.0	Rat Terrier	True	3	36.83	7.88	16.0	3.2	4.0	3.4	3.8	4.33
195	A400498	1.0	Chihuahua	True	1	19.05	2.02	14.0	3.2	4.0	2.6	3.4	2.0
196	A400680	1.0	Australian Cattle Dog	True	4	46.99	18.0	14.0	2.8	4.0	3.4	4.2	5.0
197	A403564	1.0	Miniature Schnauzer	True	3	34.29	6.98	13.0	4.0	3.67	2.4	3.6	4.33
198	A405494	1.0	Siberian Husky	True	5	54.61	21.38	14.0	2.6	5.0	3.0	3.4	4.33
200	A407156	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
201	A408035	1.0	American Pit Bull Terrier	True	5	45.72	25.88	14.0	2.4	3.67	3.4	3.8	4.33
202	A409637	1.0	Rat Terrier	True	3	36.83	7.88	16.0	3.2	4.0	3.4	3.8	4.33
203	A410330	1.0	Chihuahua	True	1	19.05	2.02	14.0	3.2	4.0	2.6	3.4	2.0
204	A412173	1.0	Manchester Terrier	True	3	39.37	7.65	15.0	3.0	3.33	3.0	3.2	4.0
205	A412626	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
207	A413789	1.0	Pomeranian	True	1	24.13	2.25	14.0	3.4	3.0	2.8	3.4	2.33
208	A414198	1.0	Border Collie	True	4	50.8	16.88	14.0	2.8	4.0	2.4	3.6	4.33
209	A414513	1.0	Miniature Schnauzer	False	3	34.29	6.98	13.0	4.0	3.67	2.4	3.6	4.33
210	A414620	1.0	Border Collie	True	4	50.8	16.88	14.0	2.8	4.0	2.4	3.6	4.33
211	A415049	1.0	Catahoula Bulldog	True	5	63.5	39.38	12.0	1.6	3.0	2.8	3.4	5.0
212	A415589	1.0	Siberian Husky	True	5	54.61	21.38	14.0	2.6	5.0	3.0	3.4	4.33
213	A415823	1.0	American Pit Bull Terrier	True	5	45.72	25.88	14.0	2.4	3.67	3.4	3.8	4.33
214	A415823	2.0	American Pit Bull Terrier	True	5	45.72	25.88	14.0	2.4	3.67	3.4	3.8	4.33
215	A416128	1.0	German Shepherd Dog	True	5	60.96	38.25	12.0	3.2	4.0	3.4	4.6	5.0
216	A416756	1.0	American Pit Bull Terrier	False	5	45.72	25.88	14.0	2.4	3.67	3.4	3.8	4.33
217	A417622	1.0	Miniature Pinscher	False	2	27.94	4.28	12.0	3.2	3.33	3.2	3.2	3.67
218	A417705	1.0	Shih Tzu	False	3	24.13	5.62	13.0	3.8	4.33	2.4	3.4	2.33
219	A417737	1.0	Chihuahua	True	1	19.05	2.02	14.0	3.2	4.0	2.6	3.4	2.0
221	A419009	1.0	Miniature Schnauzer	False	3	34.29	6.98	13.0	4.0	3.67	2.4	3.6	4.33
222	A419723	1.0	American Pit Bull Terrier	False	5	45.72	25.88	14.0	2.4	3.67	3.4	3.8	4.33
223	A419781	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
224	A420464	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
225	A421087	1.0	Shetland Sheepdog	True	3	36.83	9.0	14.0	3.2	4.67	3.0	3.6	3.33
226	A422526	1.0	Pekingese	False	2	19.05	4.73	14.0	3.6	3.0	2.2	3.8	1.67
227	A423033	1.0	American Pit Bull Terrier	False	5	45.72	25.88	14.0	2.4	3.67	3.4	3.8	4.33
228	A423546	1.0	Border Collie	True	4	50.8	16.88	14.0	2.8	4.0	2.4	3.6	4.33
229	A423701	1.0	Australian Cattle Dog	True	4	46.99	18.0	14.0	2.8	4.0	3.4	4.2	5.0
230	A424158	1.0	Chihuahua	True	1	19.05	2.02	14.0	3.2	4.0	2.6	3.4	2.0
231	A424158	2.0	Chihuahua	True	1	19.05	2.02	14.0	3.2	4.0	2.6	3.4	2.0
232	A424158	3.0	Chihuahua	True	1	19.05	2.02	14.0	3.2	4.0	2.6	3.4	2.0
233	A424714	1.0	Shetland Sheepdog	False	3	36.83	9.0	14.0	3.2	4.67	3.0	3.6	3.33
234	A427100	1.0	Cardigan Welsh Corgi	True	4	27.94	14.18	14.0	3.8	4.0	3.2	3.8	3.0
235	A427782	1.0	American Pit Bull Terrier	False	5	45.72	25.88	14.0	2.4	3.67	3.4	3.8	4.33
236	A427808	1.0	Golden Retriever	True	5	57.15	29.25	11.0	2.8	5.0	3.6	4.2	4.0
237	A427866	1.0	German Shepherd Dog	True	5	60.96	38.25	12.0	3.2	4.0	3.4	4.6	5.0
238	A428783	1.0	Australian Cattle Dog	False	4	46.99	18.0	14.0	2.8	4.0	3.4	4.2	5.0
239	A430328	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
240	A430366	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
241	A430368	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
242	A430437	1.0	Cairn Terrier	False	3	24.13	6.08	14.0	3.4	4.67	3.2	3.6	4.33
243	A430500	1.0	American Bulldog	True	5	60.96	40.5	13.0	1.8	3.67	2.8	3.0	4.0
244	A430501	1.0	Pembroke Welsh Corgi	True	4	27.94	13.5	13.0	3.8	4.0	3.4	4.0	3.67
245	A430671	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
246	A430709	1.0	American Pit Bull Terrier	True	5	45.72	25.88	14.0	2.4	3.67	3.4	3.8	4.33
247	A430709	2.0	American Pit Bull Terrier	True	5	45.72	25.88	14.0	2.4	3.67	3.4	3.8	4.33
248	A430953	1.0	Cocker Spaniel	False	4	36.83	11.7	14.0	3.6	4.0	2.6	4.2	3.0
249	A431223	1.0	Vizsla	True	5	57.15	24.75	12.0	2.2	5.0	2.8	4.0	4.67
250	A431615	1.0	American Pit Bull Terrier	True	5	45.72	25.88	14.0	2.4	3.67	3.4	3.8	4.33
251	A432065	1.0	German Shepherd Dog	True	5	60.96	38.25	12.0	3.2	4.0	3.4	4.6	5.0
254	A433746	1.0	Australian Shepherd	True	5	52.07	23.62	14.0	2.8	4.67	2.2	4.4	4.67
255	A434923	1.0	Labrador Retriever	False	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
256	A435209	1.0	Chow Chow	True	5	46.99	24.75	14.0	3.4	1.33	2.2	2.2	2.0
257	A435237	1.0	Labrador Retriever	True	5	57.15	30.38	11.0	2.8	5.0	4.2	4.2	5.0
258	A435358	1.0	Australian Cattle Dog	True	4	46.99	18.0	14.0	2.8	4.0	3.4	4.2	5.0
260	A438287	1.0	Chihuahua	True	1	19.05	2.02	14.0	3.2	4.0	2.6	3.4	2.0
261	A438287	2.0	Chihuahua	True	1	19.05	2.02	14.0	3.2	4.0	2.6	3.4	2.0
262	A439728	1.0	American Pit Bull Terrier	False	5	45.72	25.88	14.0	2.4	3.67	3.4	3.8	4.33
263	A439733	1.0	German Shepherd Dog	False	5	60.96	38.25	12.0	3.2	4.0	3.4	4.6	5.0
264	A440082	1.0	Boxer	True	5	58.42	29.25	11.0	2.8	4.0	3.4	3.2	5.0
265	A440835	1.0	German Shepherd Dog	True	5	60.96	38.25	12.0	3.2	4.0	3.4	4.6	5.0
